,tag,ver,year,ULflag,dataOrMC,filename
0,Autumn18,V19,2018,False,MC,Autumn18_V19_MC.tar.gz
1,Fall17_17Nov2017,V32,2017,False,MC,Fall17_17Nov2017_V32_MC.tar.gz
2,Summer16_07Aug2017,V11,2016,False,MC,Summer16_07Aug2017_V11_MC.tar.gz
3,Summer19UL17,V5,2017,True,MC,Summer19UL17_V5_MC.tar.gz
4,Summer19UL18,V5,2018,True,MC,Summer19UL18_V5_MC.tar.gz
5,Summer19UL16APV,V7,2016APV,True,MC,Summer19UL16APV_V7_MC.tar.gz
6,Summer19UL16,V7,2016,True,MC,Summer19UL16_V7_MC.tar.gz
7,Autumn18,V19,2018,False,A,Autumn18_RunA_V19_DATA.tar.gz
8,Autumn18,V19,2018,False,B,Autumn18_RunB_V19_DATA.tar.gz
9,Autumn18,V19,2018,False,C,Autumn18_RunC_V19_DATA.tar.gz
10,Autumn18,V19,2018,False,D,Autumn18_RunD_V19_DATA.tar.gz
11,Fall17_17Nov2017,V32,2017,False,B,Fall17_17Nov2017B_V32_DATA.tar.gz
12,Fall17_17Nov2017,V32,2017,False,C,Fall17_17Nov2017C_V32_DATA.tar.gz
13,Fall17_17Nov2017,V32,2017,False,D,Fall17_17Nov2017DE_V32_DATA.tar.gz
14,Fall17_17Nov2017,V32,2017,False,E,Fall17_17Nov2017DE_V32_DATA.tar.gz
15,Fall17_17Nov2017,V32,2017,False,F,Fall17_17Nov2017F_V32_DATA.tar.gz
16,Summer16_07Aug2017,V11,2016,False,B,Summer16_07Aug2017BCD_V11_DATA.tar.gz
17,Summer16_07Aug2017,V11,2016,False,C,Summer16_07Aug2017BCD_V11_DATA.tar.gz
18,Summer16_07Aug2017,V11,2016,False,D,Summer16_07Aug2017BCD_V11_DATA.tar.gz
19,Summer16_07Aug2017,V11,2016,False,E,Summer16_07Aug2017EF_V11_DATA.tar.gz
20,Summer16_07Aug2017,V11,2016,False,F,Summer16_07Aug2017EF_V11_DATA.tar.gz
21,Summer16_07Aug2017,V11,2016,False,G,Summer16_07Aug2017GH_V11_DATA.tar.gz
22,Summer16_07Aug2017,V11,2016,False,H,Summer16_07Aug2017GH_V11_DATA.tar.gz
23,Summer19UL17,V5,2017,True,B,Summer19UL17_RunB_V5_DATA.tar.gz
24,Summer19UL17,V5,2017,True,C,Summer19UL17_RunC_V5_DATA.tar.gz
25,Summer19UL17,V5,2017,True,D,Summer19UL17_RunD_V5_DATA.tar.gz
26,Summer19UL17,V5,2017,True,E,Summer19UL17_RunE_V5_DATA.tar.gz
27,Summer19UL17,V5,2017,True,F,Summer19UL17_RunF_V5_DATA.tar.gz
28,Summer19UL18,V5,2018,True,A,Summer19UL18_RunA_V5_DATA.tar.gz
29,Summer19UL18,V5,2018,True,B,Summer19UL18_RunB_V5_DATA.tar.gz
30,Summer19UL18,V5,2018,True,C,Summer19UL18_RunC_V5_DATA.tar.gz
31,Summer19UL18,V5,2018,True,D,Summer19UL18_RunD_V5_DATA.tar.gz
32,Summer19UL16APV,V7,2016APV,True,B,Summer19UL16APV_RunBCD_V7_DATA.tar.gz
33,Summer19UL16APV,V7,2016APV,True,C,Summer19UL16APV_RunBCD_V7_DATA.tar.gz
34,Summer19UL16APV,V7,2016APV,True,D,Summer19UL16APV_RunBCD_V7_DATA.tar.gz
35,Summer19UL16APV,V7,2016APV,True,E,Summer19UL16APV_RunEF_V7_DATA.tar.gz
36,Summer19UL16APV,V7,2016APV,True,F,Summer19UL16APV_RunEF_V7_DATA.tar.gz
37,Summer19UL16,V7,2016,True,F,Summer19UL16_RunFGH_V7_DATA.tar.gz
38,Summer19UL16,V7,2016,True,G,Summer19UL16_RunFGH_V7_DATA.tar.gz
39,Summer19UL16,V7,2016,True,H,Summer19UL16_RunFGH_V7_DATA.tar.gz
