OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
3,iterativefit,central,1,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
3,iterativefit,central,2,0.0,2.5,20.0,30.0,-15.0,0.0,1.1732401847839355
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.0,0.08,0.6568931937217712
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.08,0.2324999999999999,-16.59196352889837*(x-0.08)*(x-0.08)*(x-0.08)-18.182595834875716*(x-0.08)*(x-0.08)+6.70329228509392*(x-0.08)+0.6568931937217712
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.2324999999999999,0.3275,350.5497671178204*(x-0.23249999999999998)*(x-0.23249999999999998)*(x-0.23249999999999998)-49.95334181428943*(x-0.23249999999999998)*(x-0.23249999999999998)+0.0*(x-0.23249999999999998)+1.197441577911377
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.3275,0.38,-3201.584259385799*(x-0.3275)*(x-0.3275)*(x-0.3275)+252.12476042663164*(x-0.3275)*(x-0.3275)+0.0*(x-0.3275)+1.0471652746200562
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.38,0.4399999999999999,1663.9905947226114*(x-0.38)*(x-0.38)*(x-0.38)-149.7591535250349*(x-0.38)*(x-0.38)+0.0*(x-0.38)+1.278804898262024
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.4399999999999999,0.495,-779.929329451538*(x-0.43999999999999995)*(x-0.43999999999999995)*(x-0.43999999999999995)+64.34416967975194*(x-0.43999999999999995)*(x-0.43999999999999995)+0.0*(x-0.43999999999999995)+1.0990939140319824
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.495,0.5549999999999999,1437.8704406597037*(x-0.495)*(x-0.495)*(x-0.495)-129.4083396593732*(x-0.495)*(x-0.495)+0.0*(x-0.495)+1.1639742851257324
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.5549999999999999,0.6174999999999999,-2013.625*(x-0.5549999999999999)*(x-0.5549999999999999)*(x-0.5549999999999999)+188.77734375*(x-0.5549999999999999)*(x-0.5549999999999999)+0.0*(x-0.5549999999999999)+1.0086842775344849
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.6174999999999999,0.685,1326.2282242267859*(x-0.6174999999999999)*(x-0.6174999999999999)*(x-0.6174999999999999)-134.33564129363975*(x-0.6174999999999999)*(x-0.6174999999999999)+0.0*(x-0.6174999999999999)+1.2544881105422974
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.685,0.76,-0.021548544604315465*(x-0.685)*(x-0.685)*(x-0.685)+0.05195444287771335*(x-0.685)*(x-0.685)-0.007429534741459174*(x-0.685)+1.0502986907958984
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.76,0.8300000000000001,-273.7754287942151*(x-0.76)*(x-0.76)*(x-0.76)+28.74642002339261*(x-0.76)*(x-0.76)+0.0*(x-0.76)+1.0500246286392212
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.8300000000000001,0.885,293.3754568997574*(x-0.8300000000000001)*(x-0.8300000000000001)*(x-0.8300000000000001)-42.27992216923118*(x-0.8300000000000001)*(x-0.8300000000000001)+0.0*(x-0.8300000000000001)+1.0969771146774292
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.885,0.92,3222.2973663163907*(x-0.885)*(x-0.885)*(x-0.885)-140.76476648518025*(x-0.885)*(x-0.885)-1.988409167250132*(x-0.885)+1.0178906917572021
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.92,0.9425,-17922.912796721273*(x-0.92)*(x-0.92)*(x-0.92)+698.7126637731859*(x-0.92)*(x-0.92)+0.0*(x-0.92)+0.914015531539917
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.9425,0.955,-14501.606819015742*(x-0.9425)*(x-0.9425)*(x-0.9425)+103.03928546562476*(x-0.9425)*(x-0.9425)+4.22164605977297*(x-0.9425)+1.063585638999939
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.955,0.965,289288.1631851189*(x-0.955)*(x-0.955)*(x-0.955)-4339.322447776787*(x-0.955)*(x-0.955)+0.0*(x-0.955)+1.1041326522827148
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.965,0.975,-142735.6004714962*(x-0.965)*(x-0.965)*(x-0.965)+2141.034007072445*(x-0.965)*(x-0.965)+0.0*(x-0.965)+0.959488570690155
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.975,0.985,253176.61978113026*(x-0.975)*(x-0.975)*(x-0.975)-3845.645091663536*(x-0.975)*(x-0.975)+0.0*(x-0.975)+1.0308563709259033
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.985,0.9925,-11088.802669046026*(x-0.985)*(x-0.985)*(x-0.985)+141.69658680192975*(x-0.985)*(x-0.985)-0.9599158989315828*(x-0.985)+0.8994684815406799
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.9925,1.0025,879.0576621093023*(x-0.9924999999999999)*(x-0.9924999999999999)*(x-0.9924999999999999)-53.9373753040697*(x-0.9924999999999999)*(x-0.9924999999999999)-0.705702547304143*(x-0.9924999999999999)+0.8955614566802979
3,iterativefit,central,2,0.0,2.5,20.0,30.0,1.0025,1.1,0.8839897513389587
3,iterativefit,central,2,0.0,2.5,30.0,50.0,-15.0,0.0,1.0855902433395386
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.0,0.075,1.0548319816589355
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.075,0.2249999999999999,-1.0819994780427087*(x-0.075)*(x-0.075)*(x-0.075)-0.21308866419864872*(x-0.075)*(x-0.075)+0.18981792381105123*(x-0.075)+1.0548319816589355
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.2249999999999999,0.3399999999999999,4.018747621607062*(x-0.22499999999999998)*(x-0.22499999999999998)*(x-0.22499999999999998)-0.6258490123380327*(x-0.22499999999999998)*(x-0.22499999999999998)+0.05285635978357383*(x-0.22499999999999998)+1.0748584270477295
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.3399999999999999,0.4075,-181.7974032025798*(x-0.33999999999999997)*(x-0.33999999999999997)*(x-0.33999999999999997)+17.900654490312416*(x-0.33999999999999997)*(x-0.33999999999999997)+0.0683548988330865*(x-0.33999999999999997)+1.0787720680236816
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.4075,0.4725,505.3432084345294*(x-0.4075)*(x-0.4075)*(x-0.4075)-49.27096282236666*(x-0.4075)*(x-0.4075)+0.0*(x-0.4075)+1.1090346574783325
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.4725,0.5449999999999999,-537.30595179788*(x-0.47250000000000003)*(x-0.47250000000000003)*(x-0.47250000000000003)+58.432022258019366*(x-0.47250000000000003)*(x-0.47250000000000003)+0.0*(x-0.47250000000000003)+1.039644718170166
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.5449999999999999,0.625,243.23398247361118*(x-0.5449999999999999)*(x-0.5449999999999999)*(x-0.5449999999999999)-29.188077896833367*(x-0.5449999999999999)*(x-0.5449999999999999)+0.0*(x-0.5449999999999999)+1.1420224905014038
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.625,0.7175,-88.15804316331823*(x-0.625)*(x-0.625)*(x-0.625)+12.231928488910407*(x-0.625)*(x-0.625)+0.0*(x-0.625)+1.0797545909881592
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.7175,0.81,193.59319388396895*(x-0.7175)*(x-0.7175)*(x-0.7175)-26.861055651400697*(x-0.7175)*(x-0.7175)+0.0*(x-0.7175)+1.1146410703659058
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.81,0.8725,-94.56640625*(x-0.81)*(x-0.81)*(x-0.81)+8.8656005859375*(x-0.81)*(x-0.81)+0.0*(x-0.81)+1.0380311012268066
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.8725,0.9,9087.73810589433*(x-0.8725)*(x-0.8725)*(x-0.8725)-374.8691968681407*(x-0.8725)*(x-0.8725)+0.0*(x-0.8725)+1.049574851989746
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.9,0.92,-11813.819408416717*(x-0.9)*(x-0.9)*(x-0.9)+354.4145822525018*(x-0.9)*(x-0.9)+0.0*(x-0.9)+0.9550765752792358
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.92,0.935,7673.115425850321*(x-0.92)*(x-0.92)*(x-0.92)-220.12038039152534*(x-0.92)*(x-0.92)+0.0*(x-0.92)+1.0023318529129028
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.935,0.945,12037.102888502335*(x-0.935)*(x-0.935)*(x-0.935)-109.34361836269294*(x-0.935)*(x-0.935)-1.4242584992967904*(x-0.935)+0.9787015318870544
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.945,0.955,-161357.04517364458*(x-0.945)*(x-0.945)*(x-0.945)+2420.3556776046707*(x-0.945)*(x-0.945)+0.0*(x-0.945)+0.9655616879463196
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.955,0.965,3951.251996576348*(x-0.955)*(x-0.955)*(x-0.955)-186.92791951715486*(x-0.955)*(x-0.955)+0.0*(x-0.955)+1.046240210533142
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.965,0.975,164979.16032177123*(x-0.965)*(x-0.965)*(x-0.965)-2347.028265258061*(x-0.965)*(x-0.965)-2.553182791370194*(x-0.965)+1.031498670578003
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.975,0.985,-247123.47984313898*(x-0.975)*(x-0.975)*(x-0.975)+3706.852197647088*(x-0.975)*(x-0.975)+0.0*(x-0.975)+0.9362431764602661
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.985,0.9925,221649.16519068327*(x-0.985)*(x-0.985)*(x-0.985)-2779.2877266281535*(x-0.985)*(x-0.985)+0.0*(x-0.985)+1.059804916381836
3,iterativefit,central,2,0.0,2.5,30.0,50.0,0.9925,1.0025,12904.243986854555*(x-0.9924999999999999)*(x-0.9924999999999999)*(x-0.9924999999999999)+20.737303871916936*(x-0.9924999999999999)*(x-0.9924999999999999)-4.286019273494713*(x-0.9924999999999999)+0.996978223323822
3,iterativefit,central,2,0.0,2.5,30.0,50.0,1.0025,1.1,0.9690960049629213
3,iterativefit,central,2,0.0,2.5,50.0,70.0,-15.0,0.0,1.335599422454834
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.0,0.075,1.1376334428787231
3,iterativefit,central,2,0.0,2.5,50.0,70.0,0.075,0.2249999999999999,4.667458710847081*(x-0.075)*(x-0.075)*(x-0.075)-2.100356419881186*(x-0.075)*(x-0.075)+0.3150534629821778*(x-0.075)+1.1376334428787231
