OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula
3,iterativefit,central,1,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
3,iterativefit,central,2,0.0,2.5,20.0,30.0,-15.0,0.0,1.0388038158416748
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.0,0.08,1.177596926689148
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.08,0.2274999999999999,10.496175104032647*(x-0.08)*(x-0.08)*(x-0.08)+1.8893358249986636*(x-0.08)*(x-0.08)-1.4216921658796224*(x-0.08)+1.177596926689148
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.2274999999999999,0.315,4.494941864528712*(x-0.22749999999999998)*(x-0.22749999999999998)*(x-0.22749999999999998)+0.43441527275881386*(x-0.22749999999999998)*(x-0.22749999999999998)-0.17926586868368635*(x-0.22749999999999998)+1.0426849126815796
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.315,0.355,-8360.832929611219*(x-0.315)*(x-0.315)*(x-0.315)+501.6499757766729*(x-0.315)*(x-0.315)+0.0*(x-0.315)+1.0333364009857178
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.355,0.3974999999999999,8584.926115284872*(x-0.355)*(x-0.355)*(x-0.355)-547.2890398494104*(x-0.355)*(x-0.355)+0.0*(x-0.355)+1.3008830547332764
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.3974999999999999,0.4425,-528.0209712591412*(x-0.39749999999999996)*(x-0.39749999999999996)*(x-0.39749999999999996)+62.97800370158258*(x-0.39749999999999996)*(x-0.39749999999999996)+0.0*(x-0.39749999999999996)+0.9713694453239441
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.4425,0.49,-2552.135842433286*(x-0.4425)*(x-0.4425)*(x-0.4425)+155.94185842870687*(x-0.4425)*(x-0.4425)+2.4602929327431484*(x-0.4425)+1.0507839918136597
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.49,0.5475,1945.8423676267007*(x-0.49)*(x-0.49)*(x-0.49)-167.82890420780294*(x-0.49)*(x-0.49)+0.0*(x-0.49)+1.2459745407104492
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.5475,0.61,-665.01171875*(x-0.5475)*(x-0.5475)*(x-0.5475)+62.3448486328125*(x-0.5475)*(x-0.5475)+0.0*(x-0.5475)+1.061013102531433
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.61,0.6825,894.2217222511939*(x-0.61)*(x-0.61)*(x-0.61)-97.24661229481735*(x-0.61)*(x-0.61)+0.0*(x-0.61)+1.1421912908554077
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.6825,0.765,-246.0913750761906*(x-0.6825)*(x-0.6825)*(x-0.6825)+35.34174596533467*(x-0.6825)*(x-0.6825)+0.0*(x-0.6825)+0.9718071222305298
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.765,0.8400000000000001,-70.77362505325955*(x-0.765)*(x-0.765)*(x-0.765)+2.5853006888700323*(x-0.765)*(x-0.765)+0.8065098194432518*(x-0.765)+1.0741677284240723
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.8400000000000001,0.89,3190.4029846191534*(x-0.8400000000000001)*(x-0.8400000000000001)*(x-0.8400000000000001)-239.28022384643617*(x-0.8400000000000001)*(x-0.8400000000000001)+0.0*(x-0.8400000000000001)+1.1193406581878662
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.89,0.915,-5451.614379882797*(x-0.89)*(x-0.89)*(x-0.89)+204.43553924560507*(x-0.89)*(x-0.89)+0.0*(x-0.89)+0.9199404716491699
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.915,0.9325,21686.987696166783*(x-0.915)*(x-0.915)*(x-0.915)-569.2834270243768*(x-0.915)*(x-0.915)+0.0*(x-0.915)+0.9625312089920044
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.9325,0.9475,-40275.9622644494*(x-0.9325)*(x-0.9325)*(x-0.9325)+906.2091509501123*(x-0.9325)*(x-0.9325)+0.0*(x-0.9325)+0.9044168591499329
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.9475,0.9625,83993.94706443668*(x-0.9475)*(x-0.9475)*(x-0.9475)-1889.8638089498131*(x-0.9475)*(x-0.9475)+0.0*(x-0.9475)+0.9723825454711914
3,iterativefit,central,2,0.0,2.5,20.0,30.0,0.9625,0.9775,-85212.63687698718*(x-0.9624999999999999)*(x-0.9624999999999999)*(x-0.9624999999999999)+1917.2843297322274*(x-0.9624999999999999)*(x-0.9624999999999999)+0.0*(x-0.9624999999999999)+0.8306427597999573
