OperatingPoint,measurementType,sysType,jetFlavor,etaMin,etaMax,ptMin,ptMax,discrMin,discrMax,formula 
3,iterativefit,central,1,0.0,2.5,20.0,10000.0,-15.0,1.1,1.0
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,-15.0,0.0,1.35999035835
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.0,0.0905,1.00621390343
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.0905,0.1995,-33.2320137595*(x-0.0905)*(x-0.0905)*(x-0.0905)-9.25042242874*(x-0.0905)*(x-0.0905)+3.34170378589*(x-0.0905)+1.006213903427124
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.1995,0.2345,-23.8304538412*(x-0.1995)*(x-0.1995)*(x-0.1995)-0.757801601902*(x-0.1995)*(x-0.1995)+0.140623029999*(x-0.1995)+1.217518925666809
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.2345,0.273,5490.23884309*(x-0.2345)*(x-0.2345)*(x-0.2345)-345.117327177*(x-0.2345)*(x-0.2345)+0.0*(x-0.2345)+1.2204906940460205
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.273,0.32,229.220914067*(x-0.273)*(x-0.273)*(x-0.273)+6.82199595281*(x-0.273)*(x-0.273)-2.16031461709*(x-0.273)+1.0222499370574951
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.32,0.3715,-1529.09632646*(x-0.32)*(x-0.32)*(x-0.32)+126.360060013*(x-0.32)*(x-0.32)+0.0*(x-0.32)+0.9595833420753479
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.3715,0.425,-60.2125960125*(x-0.3715)*(x-0.3715)*(x-0.3715)-3.09736894385*(x-0.3715)*(x-0.3715)+0.848448985803*(x-0.3715)+1.0858612060546875
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.425,0.4805,1100.99887533*(x-0.425)*(x-0.425)*(x-0.425)-91.6581563715*(x-0.425)*(x-0.425)+0.0*(x-0.425)+1.113167405128479
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.4805,0.538,-381.198838222*(x-0.4805)*(x-0.4805)*(x-0.4805)+32.8783997967*(x-0.4805)*(x-0.4805)+0.0*(x-0.4805)+1.0190573930740356
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.538,0.598,175.285545995*(x-0.538)*(x-0.538)*(x-0.538)-21.2683867884*(x-0.538)*(x-0.538)+0.0*(x-0.538)+1.0552921295166016
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.598,0.6595,-46.3764423574*(x-0.598)*(x-0.598)*(x-0.598)+2.61155492207*(x-0.598)*(x-0.598)-0.659122517868*(x-0.598)+1.0165876150131226
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.6595,0.721,408.142017585*(x-0.6595)*(x-0.6595)*(x-0.6595)-30.6257095794*(x-0.6595)*(x-0.6595)-0.864123159772*(x-0.6595)+0.9751415848731995
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.721,0.783,-272.321511993*(x-0.721)*(x-0.721)*(x-0.721)+30.20085806*(x-0.721)*(x-0.721)+0.0*(x-0.721)+0.9011011719703674
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.783,0.845,-90.8105530236*(x-0.783)*(x-0.783)*(x-0.783)+3.57042398653*(x-0.783)*(x-0.783)+0.604494723138*(x-0.783)+0.9522914290428162
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.845,0.907,64.1433625566*(x-0.845)*(x-0.845)*(x-0.845)-11.3461406774*(x-0.845)*(x-0.845)+0.0*(x-0.845)+0.981852114200592
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.907,0.974,39.6254915966*(x-0.907)*(x-0.907)*(x-0.907)-11.5711930101*(x-0.907)*(x-0.907)-0.667220187001*(x-0.907)+0.9535247087478638
3,iterativefit,down_hf,2,0.0,2.5,20.0,30.0,0.974,1.1,0.868795752525
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,-15.0,0.0,1.15661025047
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.0,0.0805,1.1090157032
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.0805,0.1855,16.4047609943*(x-0.0805)*(x-0.0805)*(x-0.0805)-6.95441316684*(x-0.0805)*(x-0.0805)+0.91783929515*(x-0.0805)+1.109015703201294
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.1855,0.231,404.699474366*(x-0.1855)*(x-0.1855)*(x-0.1855)-27.6207391255*(x-0.1855)*(x-0.1855)+0.0*(x-0.1855)+1.1477069854736328
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.231,0.274,-3.8743356459*(x-0.231)*(x-0.231)*(x-0.231)+0.249894649161*(x-0.231)*(x-0.231)+0.0*(x-0.231)+1.1286463737487793
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.274,0.321,1132.18684894*(x-0.274)*(x-0.274)*(x-0.274)-79.8191728501*(x-0.274)*(x-0.274)+0.0*(x-0.274)+1.128800392150879
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.321,0.372,-58.0072613243*(x-0.321)*(x-0.321)*(x-0.321)+4.43755549131*(x-0.321)*(x-0.321)+0.0*(x-0.321)+1.0700268745422363
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.372,0.4255,1410.74152686*(x-0.372)*(x-0.372)*(x-0.372)-113.21200753*(x-0.372)*(x-0.372)+0.0*(x-0.372)+1.0738742351531982
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.4255,0.4815,-1070.15276724*(x-0.4255)*(x-0.4255)*(x-0.4255)+89.8928324483*(x-0.4255)*(x-0.4255)+0.0*(x-0.4255)+0.9658605456352234
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.4815,0.5395,9.49321877089*(x-0.4815)*(x-0.4815)*(x-0.4815)-3.47215563869*(x-0.4815)*(x-0.4815)+0.0*(x-0.4815)+1.059828519821167
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.5395,0.599,868.596040304*(x-0.5395)*(x-0.5395)*(x-0.5395)-74.9426630656*(x-0.5395)*(x-0.5395)-0.306964490252*(x-0.5395)+1.0500004291534424
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.599,0.66,-568.8213886*(x-0.599)*(x-0.599)*(x-0.599)+52.0471570569*(x-0.599)*(x-0.599)+0.0*(x-0.599)+0.9493855834007263
3,iterativefit,down_hf,2,0.0,2.5,30.0,50.0,0.66,0.722,154.8083142*(x-0.66)*(x-0.66)*(x-0.66)-14.3971732206*(x-0.66)*(x-0.66)+0.0*(x-0.66)+1.0139414072036743
