,year,ULflag,variation,nbins,filename
0,2016,True,down,99,UltraLegacy/PileupHistogram-goldenJSON-13tev-2016-postVFP-66000ub-99bins.root
1,2016,True,nominal,99,UltraLegacy/PileupHistogram-goldenJSON-13tev-2016-postVFP-69200ub-99bins.root
2,2016,True,up,99,UltraLegacy/PileupHistogram-goldenJSON-13tev-2016-postVFP-72400ub-99bins.root
3,2016APV,True,down,99,UltraLegacy/PileupHistogram-goldenJSON-13tev-2016-preVFP-66000ub-99bins.root
4,2016APV,True,nominal,99,UltraLegacy/PileupHistogram-goldenJSON-13tev-2016-preVFP-69200ub-99bins.root
5,2016APV,True,up,99,UltraLegacy/PileupHistogram-goldenJSON-13tev-2016-preVFP-72400ub-99bins.root
6,2017,True,down,99,UltraLegacy/PileupHistogram-goldenJSON-13tev-2017-66000ub-99bins.root
7,2017,True,nominal,99,UltraLegacy/PileupHistogram-goldenJSON-13tev-2017-69200ub-99bins.root
8,2017,True,up,99,UltraLegacy/PileupHistogram-goldenJSON-13tev-2017-72400ub-99bins.root
9,2018,True,down,99,UltraLegacy/PileupHistogram-goldenJSON-13tev-2018-66000ub-99bins.root
10,2018,True,nominal,99,UltraLegacy/PileupHistogram-goldenJSON-13tev-2018-69200ub-99bins.root
11,2018,True,up,99,UltraLegacy/PileupHistogram-goldenJSON-13tev-2018-72400ub-99bins.root
12,2018,False,down,99,Preliminary/PileupHistogram-goldenJSON-13tev-2018-66000ub-99bins.root
13,2018,False,nominal,99,Preliminary/PileupHistogram-goldenJSON-13tev-2018-69200ub-99bins.root
14,2018,False,up,99,Preliminary/PileupHistogram-goldenJSON-13tev-2018-72400ub-99bins.root
15,2017,False,down,99,Preliminary/PileupHistogram-goldenJSON-13tev-2017-66000ub-99bins.root
16,2017,False,nominal,99,Preliminary/PileupHistogram-goldenJSON-13tev-2017-69200ub-99bins.root
17,2017,False,up,99,Preliminary/PileupHistogram-goldenJSON-13tev-2017-72400ub-99bins.root
18,2016,False,nominal,99,Preliminary/PileupHistogram-goldenJSON-13tev-2016-69200ub-99bins.root
19,2016,False,up,99,Preliminary/PileupHistogram-goldenJSON-13tev-2016-72400ub-99bins.root
